,price_perc-2w,price_perc-4w,price_perc-6w,price_perc-8w,production_tons-1m_sum,production_tons-12m_sum,production_tons-3m_sum,production_tons-6m_sum,production_tons-9m_sum,tmin,tmax,tmed,prec,racha,prec-4w_sum,prec-13w_sum,prec-26w_sum,prec-52w_sum,tmed-4w_mean,freeze_damage,week_nr,increase
147,0.0220032683095178,0.056627210810657906,0.0032977176416230524,0.0010768040441872493,34649.32000000001,433084.09,300252.1699999999,432326.19999999995,432868.45999999996,9.0,42.7,23.917142857142853,0.8,12.2,19.199999999999868,345.4000000000004,345.4000000000004,1455.6999999999996,21.233606330265943,0.0,23,1.0
148,0.0038563597811933827,0.05226306619757337,0.027594296257490797,0.010727269128427341,34649.32000000001,433084.09,300252.1699999999,432326.19999999995,432868.45999999996,18.6,42.6,29.254545454545454,16.1,20.6,19.99999999999987,346.2000000000004,346.2000000000004,1442.3999999999996,22.590892044551655,0.0,24,1.0
150,0.0175815100655527,0.04398213382221205,0.07935068742132895,0.0248743077455991,34649.32000000001,433084.09,300252.1699999999,432326.19999999995,432868.45999999996,13.5,40.9,26.523333333333333,0.0,13.1,31.299999999999866,356.5000000000004,356.5000000000004,1458.4999999999995,24.373493925429397,0.0,25,1.0
153,0.011025237305179923,0.03276801290062994,0.08256886091000619,0.05718961589802557,34649.32000000001,433084.09,300252.1699999999,432326.19999999995,432868.45999999996,13.8,40.6,27.347826086956523,0.0,11.4,30.199999999999864,324.9000000000004,324.9000000000004,1458.4999999999995,25.440690895126366,0.0,26,1.0
155,0.04056192620339653,0.07053072120733783,0.09830508474576281,0.13551401869158877,34649.32000000001,433084.09,300252.1699999999,432326.19999999995,432868.45999999996,14.5,41.1,26.77857142857143,0.0,11.4,16.899999999999864,286.2000000000004,286.2000000000004,1458.4999999999995,26.76071193299453,0.0,27,1.0
156,0.008360707857419122,0.0608301203804345,0.08364398337934961,0.13589810883486225,489.320000000007,433341.98000000004,164065.6799999999,431998.31999999995,432955.92999999993,15.7,42.0,28.018750000000004,0.0,13.9,16.099999999999863,259.9000000000004,259.9000000000004,1458.4999999999995,27.476069075851672,0.0,28,-1.0
158,-0.005202108072441787,0.04380338740166009,0.07386553839309022,0.10172642203132776,489.320000000007,433341.98000000004,164065.6799999999,431998.31999999995,432955.92999999993,14.2,44.7,29.14848484848485,0.0,24.2,-1.3855583347321954e-13,82.4000000000004,82.4000000000004,1438.3999999999996,27.16712021221531,0.0,29,1.0
160,0.00646046387529246,0.009595695387309566,0.062129369706388264,0.08497117393317227,489.320000000007,433341.98000000004,164065.6799999999,431998.31999999995,432955.92999999993,14.0,45.0,30.269696969696973,0.0,14.2,-1.3855583347321954e-13,63.80000000000041,63.80000000000041,1438.3999999999996,27.823408091003188,0.0,30,1.0
162,0.03533275199924453,0.03660077348009245,0.08766555249243921,0.1189909596159005,489.320000000007,433341.98000000004,164065.6799999999,431998.31999999995,432955.92999999993,15.1,42.6,28.21999999999999,0.0,14.2,-1.3855583347321954e-13,62.600000000000406,62.600000000000406,1438.3999999999996,28.5538758116883,0.0,31,1.0
165,0.03451003483135134,0.07798167947584181,0.08133970718997223,0.1376065358475699,73.39000000001397,433317.52,35212.02999999994,424319.74999999994,433017.12999999995,14.9,40.6,27.22631578947368,11.4,18.6,-1.3855583347321954e-13,36.100000000000406,36.100000000000406,1438.3999999999996,28.914232954545444,0.0,32,1.0
167,0.04099763151137528,0.11497313150897041,0.11633869236715012,0.17133150164056077,73.39000000001397,433317.52,35212.02999999994,424319.74999999994,433017.12999999995,19.9,40.8,30.02857142857143,0.0,11.4,11.399999999999862,47.500000000000405,47.500000000000405,1449.6999999999998,28.71612440191386,0.0,33,1.0
169,0.08622808872013203,0.169783464566929,0.21893949918281802,0.2227366255144032,73.39000000001397,433317.52,35212.02999999994,424319.74999999994,433017.12999999995,14.7,41.0,28.004761904761907,0.0,11.1,11.399999999999862,42.7000000000004,42.7000000000004,1449.6999999999998,28.936146046935505,0.0,34,1.0
171,0.006502479922691373,0.13811361747797174,0.21899038545367747,0.2204833412118311,73.39000000001397,433317.52,35212.02999999994,424319.74999999994,433017.12999999995,16.4,40.9,27.996153846153845,0.0,11.7,11.399999999999862,41.6000000000004,41.6000000000004,1449.6999999999998,28.369912280701733,0.0,35,1.0
172,0.007750864452222217,0.10176521746076508,0.18651574803149606,0.236374897993174,73.39000000001397,433317.52,35212.02999999994,424319.74999999994,433017.12999999995,15.5,37.7,26.05714285714286,0.5,15.0,11.399999999999862,28.300000000000402,28.300000000000402,1436.7999999999997,28.313950742240195,0.0,36,-1.0
